"EBI20_S_14.07.2019" "EBI20_S_30.07.2019" "EBI20_S_13.08.2019" "EBI20_S_13.09.2019" "EBI20_S_11.10.2019" "EBI20_S_28.10.2019" "EBI20_S_14.11.2019" "EBI20_S_09.12.2019" "EBI20_S_14.01.2020" "EBI20_S_07.02.2020" "EBI20_S_04.03.2020" "EBI20_S_14.04.2020" "EBI20_S_29.04.2020" "EBI20_S_13.05.2020" "EBI20_S_26.05.2020" "EBI20_S_23.06.2020" "EBI20_S_09.07.2020" "EBI20_S_23.07.2020" "EBI20_S_05.08.2020" "EBI20_S_19.08.2020"
"K00038" 0.321343645782906 0.335627752290549 0.351059060343515 0.313997988144255 0.351930863099948 0.358561539522775 0.376068749272067 0.379797635894508 0.389797744511725 0.403219862507904 0.395369254149117 0.415609245536067 0.383355118942103 0.367236751172427 0.357665080521553 0.413852410992899 0.371157212743466 0.275636292638998 0.364250600076743 0.284899571269762
"K00039" 0.0304078346780784 0.0372693266050165 0.0351267244375122 0.0342341780762264 0.033195864486634 0.0334728282664296 0.0357227798234603 0.0350559721912593 0.0367598033868453 0.0351863014203227 0.0338120893186733 0.0337603406005618 0.031965460974168 0.0331085883460911 0.0322636765143236 0.0339047007841274 0.0323026432195089 0.0272879347854259 0.0337837879871236 0.0275145251094399
"K00040" 0.073984845497197 0.0648602511899662 0.0678210050530384 0.06745702862465 0.0704320633966582 0.0628368666912722 0.0584404798451381 0.0591943149516898 0.062951256858542 0.0646055890285898 0.0611586692247416 0.0645765540581109 0.0610528756736711 0.0708452962379874 0.0682420861264727 0.063631778495932 0.0700910457697142 0.0582895604800641 0.0653748258826304 0.0655848036670389
"K00041" 0.0306045651118846 0.0264863244061162 0.0249261978822959 0.0278471445278282 0.0241389361390115 0.0271442680281043 0.0232119898279261 0.0248333550494238 0.0234392044899251 0.0220687449489265 0.0221206101972874 0.0248265202807697 0.0270306167559862 0.0284628857461938 0.0274713198807305 0.0246779074631091 0.0266272571671852 0.0226711525226157 0.0289506567190116 0.0253040765088056
"K00042" 0.30665757680112 0.321253096758759 0.311100860159223 0.318224306473481 0.30049743416797 0.298929985709046 0.301489534875749 0.296444027516484 0.296370990830406 0.288589113544698 0.287038098175354 0.296236173329028 0.289506335244942 0.293271585571149 0.30407041519594 0.293904261201478 0.288724503562324 0.299086387506618 0.299844616561423 0.301700004867869
"K00043" 0.105587124626678 0.0977386461653938 0.0943713288638646 0.0944153959686472 0.0949999394108095 0.0893031072473898 0.0867039089716228 0.0910603987880596 0.0960019123666686 0.0910664136822093 0.0882126040892424 0.0987997506625138 0.0948704748298426 0.0969098616055106 0.0939679215507123 0.0942390502591795 0.0968906219323561 0.0853403950875775 0.0982760035521535 0.0866454095585562
"K00044" 0.0292310376324402 0.0311983197230532 0.0303873892513022 0.0303762077779113 0.0326202085088005 0.0332149027673278 0.02671407823667 0.0250054073230899 0.0239818234291467 0.0239305654368275 0.023479122934495 0.0252082280718677 0.0264761969922678 0.0292363974753495 0.0273920403550856 0.0260151913149951 0.0273103251401205 0.0238610805055165 0.0246487717421896 0.0234469181893083
"K00045" 0.151925157976811 0.154020212051686 0.154326017466063 0.143544619389192 0.156058461885797 0.144294103903066 0.17260939071522 0.172809926718391 0.176211290209489 0.173487222285243 0.185806594896309 0.175578218077935 0.162882340800186 0.154184145973725 0.153095979718849 0.172546845324762 0.156730379685988 0.123229196784229 0.16508204660112 0.13078100434896
"K00046" 0.729822656524907 0.737247373437361 0.71942731649917 0.701722344866225 0.713579306205618 0.703009215771477 0.73200670491618 0.744064414889542 0.751083408945178 0.749573861310409 0.753101741490403 0.793837723032763 0.774126585583199 0.74342824195836 0.745660970991301 0.77254850947721 0.753434001877378 0.606417173124802 0.743931871305452 0.626452456153763
"K00050" 0.02279285476472 0.0225145996202418 0.0230202362647034 0.0241226683445874 0.0247464784864748 0.0221272019335524 0.0240430463714195 0.0259432643102795 0.0251637290193837 0.0259879176574803 0.028240213350094 0.0262064073766568 0.0282730481661359 0.0284214652425857 0.0253632125000126 0.0259174037105906 0.0284827322643023 0.0213998994384649 0.0244242984222391 0.0225806498480267
"K00052" 0.964540886536872 0.962596258902852 0.952378509342043 0.961011152197 0.965594481459597 0.954156787488589 0.958254202909992 0.96152338327368 0.961945334477654 0.959383662735481 0.969179923106234 0.973784513401313 0.968592894086172 0.969274578829366 0.96471337465666 0.979467170061257 0.972608124080959 0.823119725288851 0.979172345023117 0.862069681174381
"K00053" 0.785971726910911 0.76942556941103 0.737131212315052 0.7763356981932 0.736898190890701 0.778854226984981 0.739604843960721 0.765107821171096 0.7332170644692 0.736965116207602 0.742212407918222 0.746605509535852 0.761837934292465 0.755047648923596 0.759019524712523 0.752611059822293 0.754608315403625 0.66120719891862 0.748173522279826 0.706344426471791
"K00054" 0.293485098815221 0.275912752136028 0.25800307325491 0.259771865166919 0.278056241658726 0.248761757520511 0.24073521002489 0.247456022543968 0.226317374387103 0.244124030680583 0.238789548388471 0.253861719454836 0.265075474587147 0.2725147464211 0.263320098641971 0.262529188049695 0.273017585292736 0.218114143343244 0.273301268792409 0.235005616253267
