"","...1","EBI20_S_14.07.2019","EBI20_S_30.07.2019","EBI20_S_13.08.2019","EBI20_S_13.09.2019","EBI20_S_11.10.2019","EBI20_S_28.10.2019","EBI20_S_14.11.2019","EBI20_S_09.12.2019","EBI20_S_14.01.2020","EBI20_S_07.02.2020","EBI20_S_04.03.2020","EBI20_S_14.04.2020","EBI20_S_29.04.2020","EBI20_S_13.05.2020","EBI20_S_26.05.2020","EBI20_S_23.06.2020","EBI20_S_09.07.2020","EBI20_S_23.07.2020","EBI20_S_05.08.2020","EBI20_S_19.08.2020"
"124","ED05_S_Wi19_S51_metabat2.555",0.00151097877361913,0.00188360297509458,0.001706167901598,0.00183860933522428,0.00140895884437743,0.00186252262112089,0.00148094310122297,0.00137073328668563,0.00130179354275713,0.00121308868564414,0.00124376842707579,0.001113791080117,0.00118670689464218,0.00135938436755786,0.00168095213246511,0.00140624417143191,0.0014542387171615,0.00223660630730708,0.00142961267466122,0.00215363814736171
"125","ED05_S_Wi19_S51_metabat2.557",0.004032343106877,0.00591388431767776,0.00762221065445296,0.00511936060324229,0.00592911095461015,0.0061509621303032,0.00666264579847977,0.00614596505635714,0.00639856558750299,0.00642308353017089,0.00661477352376598,0.00527762764531124,0.00475909308905886,0.00492481761556632,0.0057317087559399,0.00618551700223303,0.00548465136180341,0.00568686314705943,0.00614259737679191,0.00612461980927287
"126","ED05_S_Wi19_S51_metabat2.62",0.00230021382816557,0.00305667302473672,0.00304386052605508,0.00276510310281496,0.00244327597731629,0.00308011117188927,0.00256978614790062,0.00238804930192783,0.00234333602655122,0.00226732923649231,0.00233022371177374,0.00208978002968783,0.00209199058307098,0.00235285839685582,0.00285269771078344,0.00247926535754945,0.00254628014142684,0.00323097570393587,0.00249955917224864,0.00338552700848233
"127","ED05_S_Wi19_S51_metabat2.632",0.0013504766956568,0.00116397998987028,0.00105952561006315,0.00132720027372943,0.000778318092669,0.00115349678591896,0.00093329029795641,0.00086260533511061,0,0.00070055613098395,0.00078542228450202,0.00069447808889798,0.00076127547536792,0.00084279203013275,0.00116194573873781,0.00094906135001612,0.00097229264027725,0.0016247255243102,0.00092542049215919,0.00154252232237894
"128","ED05_S_Wi19_S51_metabat2.635",0.00145044410187952,0.00180521133343568,0.0019127684033823,0.00172601154246559,0.00150212359711042,0.00187055852771024,0.00170187006079146,0.00158133100964778,0.00152376509804971,0.00143001793851857,0.00156701295160147,0.00132320897921263,0.00131162478897989,0.00145099126280078,0.00182991110508298,0.00163747135239764,0.00156894499588276,0.00195798578022402,0.00161838760041337,0.00201682533433164
"129","ED05_S_Wi19_S51_metabat2.637",0.00147874339453358,0.00084747086222235,0.00062358928561091,0.00120860664529714,0.00041397148151517,0,0,0,0,0,0,0.00042623055662908,0,0.000570139326071,0.00088026203312849,0.00063122925096555,0.0007290927107034,0.00189440142928741,0.00060936192838216,0.00157214051904263
"130","ED05_S_Wi19_S51_metabat2.65",0,0.00064567012410355,0.0005215763336064,0,0.00034732474194243,0,0,0,0,0,0,0.0003415203054448,0,0.00044538334693203,0.00065383732712924,0.00050307844444443,0.00054042895028144,0.0012439794176922,0.00048281401704813,0.00107365040106245
"131","ED05_S_Wi19_S51_metabat2.662",0.0011135231555529,0.00087740805679645,0.00070063793027,0.00107524168706081,0.000500383179036,0,0,0,0,0,0,0.00047094205288577,0,0.0005977394467794,0.00086612122198451,0.00064507678797581,0.00070224173567393,0.00136588554134865,0.00064235398344777,0.00127384131817531
"132","ED05_S_Wi19_S51_metabat2.672",0.00189659430461971,0.0026386182308957,0.0012025471954323,0.00251621959289519,0.00099633625763993,0.00221867471174758,0.00124568184288759,0.00100054846076254,0,0.00070533152628552,0.0007656816092161,0.00068291272558862,0.00080313005169221,0.00115493862180109,0.00185832745296635,0.00092369475386302,0.00114755356117294,0.00211672048009112,0.00098217405647972,0.00197827091714652
"133","ED05_S_Wi19_S51_metabat2.681",0.00215030215215942,0.00285426410908605,0.00339746227765596,0.0025464148508173,0.00263986705529265,0.00294592364550954,0.00299475196729775,0.00273180228027946,0.00273827466099994,0.00269969293073957,0.00283956747492759,0.00230086851541505,0.00216158461258814,0.00233570130326494,0.00283691535413547,0.00283680441180478,0.00256592388122634,0.00286333729897945,0.00277795446681262,0.00301725588537699
