"","...1","EOI15_S_2019.08.21","EOI15_S_2019.09.13","EOI15_S_2019.10.23","EOI15_S_2019.11.08","EOI15_S_2019.11.28","EOI15_S_2020.01.20","EOI15_S_2020.02.07","EOI15_S_2020.03.26","EOI15_S_2020.04.23","EOI15_S_2020.05.15","EOI15_S_2020.06.09","EOI15_S_2020.07.02","EOI15_S_2020.07.15","EOI15_S_2020.07.28","EOI15_S_2020.08.14","EOI15_S_2020.09.01","EOI15_S_2020.09.23","EOI15_S_2020.10.09","EOI15_S_2020.10.22","EOI15_S_2020.11.05","EOI15_S_2020.12.02"
"60","EBI20_TS_16_S49_metabat2.118",0.00083982385933206,0.00081142450700754,0.00156240831464888,0.00097586129828201,0.00077413290229905,0.00044108969341609,0.00135920119725107,0.00086472488348296,0.00087031060462796,0.00110936041554964,0.00115122547545475,0.00137546171407616,0.0005237982387917,0.00126568756573405,0.00100041296059332,0.00074184181875685,0.00068709299368814,0.00094894231146994,0.00075702676085127,0.00061995047405883,0
"61","EBI20_TS_16_S49_metabat2.154",0.00426981199878666,0.00364124853729327,0.00329276972370078,0.00363857705447866,0.00535289422837872,0.00404208039172232,0.00339831694596643,0.00275776913968794,0.00235796345063912,0.00522685391787589,0.00232462121206835,0.00344713432079865,0.00300218410411994,0.00346471742743466,0.00369500593384919,0.00330180200115818,0.00288870464566524,0.00314874668406419,0.00332450663748047,0.00324614523418568,0.00392963419757158
"62","EBI20_TS_16_S49_metabat2.171",0.00223665417598523,0.0020377934602399,0.00192356223506437,0.00182469445201979,0.00240284409527313,0.00211142474782827,0.00195722259418588,0.001643636791689,0.00146696628432807,0.00263209380900141,0.00150438836885224,0.00203003033898408,0.00167338585314899,0.00205164413092784,0.00209927870924931,0.00186644811455138,0.00165313445562017,0.00186288675227021,0.00190302604547258,0.00179404628154398,0.00207774927837462
"63","EBI20_TS_16_S49_metabat2.222",0.00241043133718097,0.00214586194984556,0.00199438660555081,0.00199739572662954,0.0027190937997443,0.00226243317514019,0.00207296924723243,0.0016852985754483,0.00146261785794867,0.00291554356903174,0.00152552051829403,0.00212813053523501,0.00178282961721782,0.00218335313244781,0.0022642266273742,0.00200851395580976,0.00173450888941574,0.00196776603224878,0.0020256862655039,0.00193025424870743,0.00225024961031478
"64","EBI20_TS_16_S49_metabat2.254",0.0009753682680101,0.00094007890912192,0.0015005337192739,0.00103690543015405,0.00094134556847134,0.00061936490719977,0.00135249890558574,0.0009466535703844,0.00091320047702254,0.00121947396055092,0.00112854866252447,0.00139404839043086,0.00065607759483028,0.00129801194037446,0.00109652411505335,0.00085292200784883,0.00077594768601238,0.00102891065962582,0.00087119073800577,0.00074525731564324,0.00062583748585482
"65","EBI20_TS_16_S49_metabat2.263",0.00239227503997071,0.00211659166808192,0.00213317803061581,0.00211504997692625,0.00272168672986155,0.00205473198168463,0.00208798214720318,0.00166065814901829,0.00150650497455516,0.00273939373648273,0.00154250433843616,0.00215272494779296,0.00163881378989823,0.00211817070545304,0.00213017638888817,0.00185530714238708,0.00165590756213007,0.00190343381619785,0.00191111139671425,0.00179142300253643,0.00199856199836244
"66","EBI20_TS_16_S49_metabat2.319",0.00337745486485155,0.00297456892549534,0.00290954126339704,0.00280133360736743,0.00369290906038427,0.00316234671566925,0.00285165919576046,0.00231111779448855,0.00205280229350889,0.00407907561058018,0.00211213408241056,0.00297343591690716,0.00252527625989646,0.00302269103607564,0.00319697394238637,0.00285523013808861,0.00252321201889631,0.00277937894331777,0.00285773294353077,0.00276627493203901,0.00319028753812718
"67","EBI20_TS_16_S49_metabat2.325",0.00071640859498117,0.00068362949735185,0.00129192405768283,0.00080579831319069,0.00065046467450762,0.00037409140322159,0.00112345407076966,0.00072916122195143,0.00072629794287028,0.00094528423949592,0.00096732296143816,0.00115464292314895,0.00044363652805788,0.00107083094811511,0.00085029168396111,0.00063650100345898,0.0005737239279881,0.00079990332987493,0.00064236076319518,0.00052433459534444,0
"68","EBI20_TS_16_S49_metabat2.338",0.00111008232503568,0.00102147967069106,0.00189729191639184,0.00118762373963909,0.00094132028359877,0.00055929597736045,0.00165602953255164,0.00111048153778214,0.0010949252515284,0.00137861744817003,0.00145481577922412,0.00170450085906853,0.00067857936853841,0.00160790106502633,0.00132223720757406,0.00098109507042272,0.00092804448995054,0.00125521028334746,0.00101185211015824,0.0008207508914797,0.00059242920210208
"69","EBI20_TS_16_S49_metabat2.343",0.00170175793835272,0.00151228360153679,0.00150761336464086,0.00143265399181754,0.00184693701255021,0.00151087310478201,0.00154529421636932,0.00124129501106976,0.00109389910212674,0.00202840457751771,0.00116456739696368,0.00159893579286783,0.00125650943530118,0.00161626313880844,0.00162856315421147,0.00142605968269803,0.00124613081084289,0.00143994321591553,0.00143307068287436,0.00135633628200337,0.0015348762742144
"70","EBI20_TS_16_S49_metabat2.65",0.00217538792998789,0.00192969555090021,0.00181161571022132,0.00182707850656091,0.00246543030826261,0.00198436093079838,0.0019014018395984,0.0015324507389324,0.00133836527526522,0.002614250319428,0.00140027373839133,0.00194282323665669,0.00158185493852403,0.00195784244791936,0.0020227955661799,0.00177986253406478,0.00156696562050834,0.0017611615094829,0.00178413620188284,0.0017122515875127,0.00199020649036543
"71","EBI20_TS_16_S49_metabat2.79",0.00234032340160956,0.00207781393696204,0.00197287907403293,0.00191853881769351,0.00252693855776918,0.00219938370000189,0.00205248923748325,0.00165131450632807,0.00145244847837203,0.00287294626371581,0.00154441582884847,0.00212245305886958,0.00178844378754831,0.00219907436036458,0.0023186584779256,0.00203353260688256,0.00176416273954469,0.00200063028061419,0.00203300444953204,0.00194392073495683,0.00224863818757342
"72","EBI20_TS_16_S49_metabat2.81",0.00204081167897401,0.00185939432261687,0.00175809391555739,0.0017000394524804,0.0022404523928227,0.00190292116186718,0.00179371493330738,0.0014972547846855,0.00133443189465351,0.00241165655919444,0.00137856409994781,0.00186344990630376,0.00150699000156388,0.00188988138101948,0.00191621351001049,0.00166682451677063,0.00148221653764984,0.00169386417371347,0.00171181648662539,0.00162490605259672,0.00186947056768887
"73","EBI20_TS_16_S49_metabat2.95",0.00112254128396044,0.00106895723744033,0.00145304745132634,0.00111218846770732,0.00107549073984085,0.00077479619057395,0.00138503013338247,0.00104445254956191,0.00097295232683232,0.00139503418078955,0.00114431122997377,0.00142844578696473,0.00079792303138171,0.00137686841174035,0.00122150314281204,0.00098071053675526,0.00089809740141722,0.00114577289977123,0.00101321368263345,0.0008926527586183,0.0008048452318587
"74","ED05_S_Wi19_S51_maxbin.002",0.00251014721823091,0.00224855923658439,0.00212248588974523,0.00219571651410212,0.00288255462716024,0.00230233582693275,0.00212701947621312,0.00178535151041667,0.00159794367608986,0.00290528408185957,0.00158981541404134,0.0022193365650691,0.00181233501246839,0.00220590626811319,0.00224171149389552,0.00200789344255125,0.00177970091917378,0.00197727734234336,0.00203481048582311,0.00191537042911121,0.00221206705390927
"75","ED05_S_Wi19_S51_maxbin.007",0.00096465677022012,0.00093444407741953,0.00230620883762705,0.00139921348232415,0.00097633907690755,0.00040323828539825,0.00192142866263492,0.00116469356711341,0.00125043869077402,0.00136798326499555,0.00162171203840473,0.00191326057811782,0.00052720345426857,0.00168955801218681,0.00119045438679794,0.00082458793470398,0.00076359610544724,0.00115391661822484,0.00083901198657887,0.00065076379122426,0
"76","ED05_S_Wi19_S51_maxbin.016",0.0008602336929781,0.00084077052357217,0.00151836644732875,0.00103746695040263,0.00086566022517513,0.00046916381058704,0.00133520876493797,0.00092986017124015,0.00091258033482976,0.00111939838555153,0.00111473860979268,0.00135414446687143,0.00054651413403196,0.00124234735803559,0.00097105178761247,0.00074582177686429,0.0006687676125358,0.00092267002870534,0.00074451502785579,0.00062993225759759,0.0004754324035348
"77","ED05_S_Wi19_S51_maxbin.024",0.00121121534695684,0.00114608420825888,0.00198612114883815,0.00131611989419956,0.00106833593203552,0.00068695317081239,0.00178893070102538,0.00124130845973287,0.00120009519208744,0.00148905938606661,0.0015452397664438,0.00184670992620425,0.00080963540852206,0.00174618441492533,0.00153144431062053,0.00117754490683183,0.00112844754501129,0.00143456379390797,0.00118956170088746,0.00098478405343104,0.00074278713733247
"78","ED05_S_Wi19_S51_maxbin.033",0.00279255153931744,0.00247659467698213,0.00241929095324414,0.00258456326104292,0.00313143007560039,0.00241788955886666,0.00239777481012948,0.00211515488223853,0.00182222665641111,0.00323065300568453,0.00180924361392876,0.00250028158269068,0.00203145446353539,0.00244854342570386,0.00249919558324488,0.00225807740017703,0.00196652655462995,0.00222913753648391,0.00225558310663033,0.00216469807641002,0.00246851630597358
"79","ED05_S_Wi19_S51_maxbin.038",0.00121422333699358,0.00113568200672556,0.00208052275612905,0.0013250289566375,0.00109519512355455,0.00069062885002687,0.00188031948546605,0.00124732285576289,0.0012131122939735,0.00161197947741227,0.00161178433820421,0.00191164262513461,0.00079720781229576,0.00182779857844261,0.00151539747549216,0.00113905291529666,0.00103140232973932,0.00142125477607308,0.00113432097488579,0.00093364969401232,0.00072232425671794
"80","ED05_S_Wi19_S51_maxbin.041",0.00104411357831583,0.00103117921690099,0.00273642688412757,0.00152464441371688,0.00102716466354657,0.00040334912609768,0.00222191671369905,0.00127430053940448,0.00127312347156124,0.00148377733729202,0.00186994611269527,0.00220303387288836,0.00055302984922609,0.00193716232931511,0.00131270757896888,0.00088521554133757,0.00082546300194365,0.00125435415637819,0.00090524414039965,0.00068298725964072,0
"81","ED05_S_Wi19_S51_maxbin.043",0.00099545527006455,0.00094054727128739,0.00218720018967446,0.00125682955941122,0.00092505917369218,0.00044925301369997,0.00178946854073048,0.00106155101925054,0.00106234179296786,0.00127293733344815,0.00147269293010365,0.00180850515040636,0.00055969914774139,0.00158971354536264,0.00119197586281281,0.00085685312875806,0.00079135664193785,0.00114246872226647,0.00087751094607796,0.00067972264493429,0
