"EOI15_S_2019.08.21" "EOI15_S_2019.09.13" "EOI15_S_2019.10.23" "EOI15_S_2019.11.08" "EOI15_S_2019.11.28" "EOI15_S_2020.01.20" "EOI15_S_2020.02.07" "EOI15_S_2020.03.26" "EOI15_S_2020.04.23" "EOI15_S_2020.05.15" "EOI15_S_2020.06.09" "EOI15_S_2020.07.02" "EOI15_S_2020.07.15" "EOI15_S_2020.07.28" "EOI15_S_2020.08.14" "EOI15_S_2020.09.01" "EOI15_S_2020.09.23" "EOI15_S_2020.10.09" "EOI15_S_2020.10.22" "EOI15_S_2020.11.05" "EOI15_S_2020.12.02"
"K00053" 0.770624902687379 0.761833234590078 0.757237332055772 0.763785268951099 0.779746063712788 0.775516425845783 0.73629648569106 0.761339105077177 0.765286128557785 0.752497390000842 0.728432874331006 0.735767437370668 0.772804218152328 0.753563020704264 0.740114909256671 0.751887176974627 0.75044425474284 0.737077431768147 0.737393250509463 0.743041089088697 0.76713176508537
"K00054" 0.225801453293739 0.226442879470028 0.20824904284688 0.198669987442154 0.195798838690584 0.245600131589125 0.222487519996194 0.215091252577674 0.213249182056442 0.20383543854252 0.234322051476241 0.220827519318335 0.255258003281943 0.233622377884449 0.2335266319931 0.245207835235184 0.240984363179073 0.238362168179276 0.234920320112887 0.252431433979661 0.270130897228202
"K00055" 0.0359036051974466 0.0328233402162969 0.0331539852899009 0.0286345683037901 0.0290649653171943 0.0360182772658527 0.0345640380459982 0.029428456558335 0.032115735762866 0.0316747753279556 0.037046164418192 0.0343813723211263 0.0369790894303012 0.0368455806845883 0.0387029802644761 0.035593677538386 0.0391141175721356 0.0380563114260663 0.0387735830054075 0.0379866742989454 0.035755602404628
"K00057" 0.582013039981965 0.587735870181353 0.590952115906057 0.582455799483168 0.581895621633886 0.582351819278304 0.587849570978812 0.62032740633798 0.599760736022264 0.62730840510884 0.589947106125106 0.595500080526529 0.601452431593608 0.591154968341172 0.606107505559906 0.599727427572988 0.578797606270929 0.582432869488374 0.582545924514065 0.600721122221431 0.602764700479035
"K00058" 1.71984072146596 1.71872534532043 1.65129431959616 1.65434848248406 1.6631355121563 1.7426619168755 1.71110366810348 1.68986693031244 1.72740013622055 1.61999875119226 1.72866568522988 1.68908286282239 1.71784811964322 1.69974918298677 1.71477518833392 1.72894974611136 1.70105274989783 1.72722784678274 1.70440224898577 1.71350521762581 1.73414172378218
"K00059" 4.74001594799753 4.70958171933512 4.42701023097366 4.55809237263109 4.59910937380424 4.80767906674626 4.61471751365857 4.62607012112259 4.68943598644707 4.58806435820616 4.69047454047567 4.59733294615076 4.85397220977664 4.75145451748305 4.72182503208185 4.79932210562833 4.75612996764213 4.72412080729989 4.72632552476444 4.74631901442239 4.85116400751316
"K00060" 0.334454265229381 0.326936973754214 0.326295616637626 0.318260787798127 0.312585114179007 0.339193947207733 0.324125640257494 0.32158085090425 0.315161567199066 0.331372860536646 0.31729021322088 0.329631655492212 0.328193113962384 0.3267135010446 0.322787261539359 0.331028910472042 0.322311550163015 0.323641989261529 0.326994261995428 0.328657730823021 0.321576209783337
"K00061" 0.0134208697685699 0.0144795447247739 0.0117383960973833 0.015611350052373 0.013069622111692 0.0128489310187992 0.0135075941267115 0.0149200281970287 0.0129658512602448 0.0156546407116362 0.0128896256686689 0.0132358562546952 0.0131795811149128 0.0134449686491391 0.0157936480325335 0.0149632886295929 0.0130621032920931 0.0140848175174414 0.0130734359736039 0.0137292125798988 0.0163836963699901
"K00064" 0.167183440095529 0.168310780226543 0.153774743955829 0.155472558932366 0.154115979015507 0.184607762818003 0.167687786059569 0.166934542779688 0.165272367270439 0.163534880776187 0.167533394284071 0.171926697937425 0.172336738069507 0.171722865455981 0.178417614216959 0.180736611404234 0.189720719617423 0.181593064110308 0.193773512425067 0.180195626122689 0.186342150309431
"K00065" 0.578262083940558 0.573359777420202 0.538939064809939 0.543706736024284 0.544405210457822 0.58893698512116 0.567601840631142 0.566163544766631 0.566696799643488 0.55042857084428 0.581505623414805 0.571018143431285 0.601416595633258 0.592285410142708 0.585271839653157 0.613035250195655 0.580344697684977 0.594848926878463 0.581188326427045 0.577503713589631 0.588478056878974
"K00066" 0.0623393412333548 0.0655482415214556 0.0614417907415652 0.0644079920923146 0.0647760883079878 0.0615663684374944 0.0670767723607699 0.0650634022753443 0.0654181240634761 0.0578709437987125 0.0669845700084548 0.0653296163513561 0.0602531501324699 0.0678520326971415 0.068175876619211 0.0679395131355357 0.067127231697679 0.0678866086301914 0.0650480048206516 0.0659776870258035 0.0656382826197786
"K00067" 0.664015903037816 0.671746979211455 0.65615343140669 0.639041714192095 0.629762708421572 0.685495473842015 0.670337822361339 0.683127305367473 0.711044040254518 0.637769204712916 0.71746193192802 0.678131329651488 0.693630671937841 0.688780939098055 0.678569442038894 0.681859893689462 0.685280979167389 0.693296159326139 0.698677424792635 0.700038010676501 0.67445188993188
"K00068" 0.120670532903326 0.118336605437254 0.112861359934619 0.102060841226134 0.101884088690256 0.134827411857105 0.110272210206442 0.106815609623296 0.116197090467822 0.0974951051709016 0.123416957323112 0.11143508245069 0.11801406725497 0.106358147897217 0.108908229913042 0.111571629138178 0.12240269065759 0.115254964151771 0.120945205566191 0.118596269189944 0.118212427110348
"K00073" 0.122073435463371 0.120870007553113 0.105252276315199 0.104296471210066 0.10072666695172 0.136294759185133 0.107104837152425 0.113804209855749 0.117168988938603 0.0951262727448993 0.113053189454744 0.107000708778132 0.12926848796204 0.106638159647812 0.107557212468971 0.121682736017069 0.127584896717145 0.118937480220212 0.127290321287281 0.133326208128553 0.134395390865657
"K00074" 0.832738535045362 0.819845477274139 0.841147320221975 0.801096692071879 0.790287199668455 0.800011191388926 0.856624910965812 0.819429509951329 0.825671161599139 0.815618158461517 0.885493426884815 0.864756213486559 0.849596333484382 0.888671077530572 0.891110988457179 0.874603764581816 0.855149516397919 0.884952972787974 0.863457811627598 0.843642380671903 0.828247235769518
"K00075" 0.624632598612687 0.63001772647201 0.602347968465255 0.613350153225685 0.595297445997632 0.629168240532109 0.614846390858047 0.634011274718026 0.639958171964091 0.600135846720748 0.6150115424018 0.604295237270735 0.634163714844229 0.599143696571827 0.609381919103933 0.603206223183256 0.616956522687896 0.622342279635875 0.627943267253071 0.624853446455293 0.646194977235525
"K00076" 0.0903936573457409 0.0991004071855785 0.0927754602878602 0.107150952496452 0.103180365768711 0.0877712299738419 0.10311439111699 0.113490220379064 0.11169211349082 0.0972541046378362 0.10441128133478 0.0993811596005611 0.0927885573758726 0.103656269740623 0.0927341475808465 0.0932933836653284 0.0909093036432745 0.09547374776953 0.0911066135843423 0.0928599821471772 0.0883946764931823
"K00077" 0.699702499645808 0.705933244270593 0.680213699218269 0.673661991764807 0.656581759819324 0.683586006780672 0.700066852766897 0.684781297767553 0.701073111725714 0.682160910436428 0.7090780302376 0.725764293666691 0.729816297130175 0.752196788093123 0.752158495616317 0.748469790468929 0.742253554827551 0.725554781166079 0.718477434388674 0.725279863528259 0.681410102922439
"K00078" 0.214213072115478 0.212287796787354 0.216882155084458 0.192263266653154 0.197895664669016 0.234707088841362 0.207364038688276 0.199227484572268 0.207569321945629 0.195066989963691 0.2071302934035 0.206796669625073 0.222700353384843 0.212420481896437 0.216008603761719 0.221293336878495 0.226589214869794 0.227207809547541 0.231657810067209 0.227906070431894 0.233421935314774
"K00079" 0.0234816127160984 0.0238010188156496 0.0199461827929884 0.0230051284112755 0.0189364969087104 0.0207649237032244 0.0238126736711304 0.0244749340121328 0.020875337782464 0.0235777659586721 0.0211380657699692 0.022367021943555 0.0235441947259343 0.0240391476763401 0.0238909719499491 0.0252356737282077 0.022103873929802 0.0240709220918017 0.0224896612199055 0.0229459375546265 0.024086337476632
"K00082" 0.0256654341297835 0.0223611975836121 0.0235117546027922 0.0223899124495963 0.0288988013392767 0.0284089235129525 0.019916164168143 0.018273617532383 0.021632449918429 0.0237573878435654 0.0208580786414659 0.0192945185089911 0.025852055744419 0.0183703742188208 0.0194530109705881 0.0200885155973897 0.0211911634243572 0.0183821314889654 0.0219183096053333 0.0212043710125067 0.0246821471748317
"K00086" 0.0384387758428359 0.0379499105852306 0.0336257276454541 0.0373302283965889 0.0323752778816989 0.040559855044194 0.0387350241752066 0.0355273407348572 0.0385008675355577 0.0375439731431944 0.0407162493108417 0.0390544945160119 0.0405925671335341 0.0397219699318869 0.0383484888150257 0.0385283823467483 0.0420871009538619 0.0389904704512566 0.0418490406223832 0.039639092689409 0.035758057081322
"K00087" 0.808221061155256 0.802539702024172 0.733836856095109 0.711506008753194 0.702603261074503 0.88557845175939 0.778813729710351 0.757151168337758 0.760472195610286 0.758275068048867 0.771648849223671 0.785713761839722 0.86756244076003 0.8087284257273 0.828733215628696 0.861768859626771 0.845317221729686 0.817925724491101 0.830238366708118 0.872829825446675 0.900629002238064
"K00088" 1.05926757983862 1.06175273629138 1.03717441816019 1.07872800412542 1.12243178254184 1.09749263554465 1.02606122230863 1.03474576517843 1.04893371032088 1.08413320428926 1.02333922205291 1.0298001195919 1.08475507481621 1.03846588729553 1.04866332544139 1.05501143220572 1.05106489843976 1.03854274244123 1.05216203465965 1.05188962806001 1.069195257123
"K00090" 0.0591399153892892 0.0581931428426444 0.0519244937297543 0.0641156367186178 0.0675614580417278 0.0509395450616376 0.049528187763996 0.0595447071110146 0.0537191276384162 0.0539507368695532 0.0529867663025761 0.0500994248818872 0.0500879914462422 0.0490038106887922 0.0474353100256778 0.0520970270007498 0.0492626668691495 0.0503821468186312 0.0512490396329622 0.0505659518406693 0.0500746067901643
"K00091" 0.735262332859344 0.741773524975399 0.731818383875829 0.671179266679804 0.642618925725799 0.762075244298438 0.766893222530241 0.741189961629293 0.746020744463668 0.725479706044062 0.797001140856696 0.777717235002149 0.80285725071076 0.778115008818838 0.780629205472138 0.800784889788865 0.792095972923669 0.791310188290908 0.789261920315991 0.794330169772562 0.797460687093337
"K00096" 0.0980615325312531 0.0988827867588537 0.108829833583587 0.0948576631815798 0.0964693340375416 0.0977697048152632 0.101994789405635 0.0825035706113968 0.0900787641919974 0.0793312521687149 0.0955133008099313 0.0987152186045102 0.101472337111465 0.0983263281060123 0.0976220421886069 0.104353470411665 0.109490016104981 0.101593360095737 0.105032935390673 0.100695930240296 0.0925491040647082
"K00097" 0.373223488373941 0.372028575339713 0.381066739399126 0.390658091469364 0.370672182730451 0.340017529206301 0.385430296330419 0.404652882935776 0.409013578397323 0.405174283086043 0.411039340619075 0.398201187621986 0.389732368238689 0.396062480791199 0.391526840824247 0.38813341982959 0.382327206275975 0.390394487887305 0.387299630969669 0.389726225638928 0.36275183703086
"K00098" 0.0774192022447851 0.0760754118833051 0.0594759249236519 0.0688609480096088 0.0784356568495451 0.0883360637537967 0.0683142885235122 0.0683884857884404 0.0758207852114697 0.0663753742533433 0.0705269479414986 0.0644380061256338 0.0785668000185037 0.0643544071996274 0.0646720307062981 0.0689083852359891 0.0721262341713971 0.0693038869262136 0.0741452542114691 0.0762412701958832 0.0821449540236588
"K00099" 0.555710482869461 0.560487140011187 0.565099483591651 0.56362073366598 0.557535005830898 0.539012387680875 0.565092423309149 0.590182849943009 0.582924187672292 0.583622732810135 0.576917120704574 0.562991189296182 0.561417951119482 0.568968724343457 0.571593495526003 0.558823123503473 0.564120781354149 0.572628327187916 0.563780781672642 0.560756236614777 0.543209738075734
