KO;catA_KO;catA_name;catB_KO;catB_name;catC_KO;catC_name;catD_KO;catD_name;catD_shortname;catD_EC
K07874;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K07874;Ras-related protein Rab-1A;RAB1A;
K07874;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K07874;Ras-related protein Rab-1A;RAB1A;
K07874;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04031;GTP-binding proteins;K07874;Ras-related protein Rab-1A;RAB1A;
K07876;09140;Cellular Processes;09141;Transport and catabolism;04144;Endocytosis;K07876;Ras-related protein Rab-35;RAB35, RAB1C;
K07876;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K07876;Ras-related protein Rab-35;RAB35, RAB1C;
K07876;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K07876;Ras-related protein Rab-35;RAB35, RAB1C;
K07876;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04031;GTP-binding proteins;K07876;Ras-related protein Rab-35;RAB35, RAB1C;
K07877;09130;Environmental Information Processing;09132;Signal transduction;04152;AMPK signaling pathway;K07877;Ras-related protein Rab-2A;RAB2A;
K07877;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K07877;Ras-related protein Rab-2A;RAB2A;
K07877;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K07877;Ras-related protein Rab-2A;RAB2A;
K07877;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04031;GTP-binding proteins;K07877;Ras-related protein Rab-2A;RAB2A;
K07886;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K07886;Ras-related protein Rab-27B;RAB27B;
K07886;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K07886;Ras-related protein Rab-27B;RAB27B;
K07886;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04031;GTP-binding proteins;K07886;Ras-related protein Rab-27B;RAB27B;
K07889;09130;Environmental Information Processing;09132;Signal transduction;04014;Ras signaling pathway;K07889;Ras-related protein Rab-5C;RAB5C;
K07889;09140;Cellular Processes;09141;Transport and catabolism;04144;Endocytosis;K07889;Ras-related protein Rab-5C;RAB5C;
K07889;09140;Cellular Processes;09141;Transport and catabolism;04145;Phagosome;K07889;Ras-related protein Rab-5C;RAB5C;
K07889;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K07889;Ras-related protein Rab-5C;RAB5C;
K07889;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K07889;Ras-related protein Rab-5C;RAB5C;
K07889;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04031;GTP-binding proteins;K07889;Ras-related protein Rab-5C;RAB5C;
K07890;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K07890;Ras-related protein Rab-21;RAB21;
K07890;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K07890;Ras-related protein Rab-21;RAB21;
K07890;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04031;GTP-binding proteins;K07890;Ras-related protein Rab-21;RAB21;
K07893;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K07893;Ras-related protein Rab-6A;RAB6A;
K07893;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K07893;Ras-related protein Rab-6A;RAB6A;
K07893;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04031;GTP-binding proteins;K07893;Ras-related protein Rab-6A;RAB6A;
K07897;09140;Cellular Processes;09141;Transport and catabolism;04144;Endocytosis;K07897;Ras-related protein Rab-7A;RAB7A;
K07897;09140;Cellular Processes;09141;Transport and catabolism;04145;Phagosome;K07897;Ras-related protein Rab-7A;RAB7A;
K07897;09140;Cellular Processes;09141;Transport and catabolism;04140;Autophagy - animal;K07897;Ras-related protein Rab-7A;RAB7A;
K07897;09140;Cellular Processes;09141;Transport and catabolism;04138;Autophagy - yeast;K07897;Ras-related protein Rab-7A;RAB7A;
K07897;09140;Cellular Processes;09141;Transport and catabolism;04137;Mitophagy - animal;K07897;Ras-related protein Rab-7A;RAB7A;
K07897;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K07897;Ras-related protein Rab-7A;RAB7A;
K07897;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K07897;Ras-related protein Rab-7A;RAB7A;
K07897;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04031;GTP-binding proteins;K07897;Ras-related protein Rab-7A;RAB7A;
K07903;09130;Environmental Information Processing;09132;Signal transduction;04152;AMPK signaling pathway;K07903;Ras-related protein Rab-10;RAB10;
K07903;09140;Cellular Processes;09141;Transport and catabolism;04144;Endocytosis;K07903;Ras-related protein Rab-10;RAB10;
K07903;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K07903;Ras-related protein Rab-10;RAB10;
K07903;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K07903;Ras-related protein Rab-10;RAB10;
K07903;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04031;GTP-binding proteins;K07903;Ras-related protein Rab-10;RAB10;
K07915;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04031;GTP-binding proteins;K07915;Ras-related protein Rab-28;RAB28;
K07918;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K07918;Ras-related protein Rab-32;RAB32;
K07918;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04031;GTP-binding proteins;K07918;Ras-related protein Rab-32;RAB32;
K07925;09140;Cellular Processes;09141;Transport and catabolism;04140;Autophagy - animal;K07925;Ras-related protein Rab-39B;RAB39B;
K07925;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K07925;Ras-related protein Rab-39B;RAB39B;
K07925;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04031;GTP-binding proteins;K07925;Ras-related protein Rab-39B;RAB39B;
K07941;09130;Environmental Information Processing;09132;Signal transduction;04014;Ras signaling pathway;K07941;ADP-ribosylation factor 6;ARF6;
K07941;09130;Environmental Information Processing;09132;Signal transduction;04072;Phospholipase D signaling pathway;K07941;ADP-ribosylation factor 6;ARF6;
K07941;09140;Cellular Processes;09141;Transport and catabolism;04144;Endocytosis;K07941;ADP-ribosylation factor 6;ARF6;
K07941;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K07941;ADP-ribosylation factor 6;ARF6;
K07941;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K07941;ADP-ribosylation factor 6;ARF6;
K07941;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04031;GTP-binding proteins;K07941;ADP-ribosylation factor 6;ARF6;
K07952;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K07952;ADP-ribosylation factor related protein 1;ARFRP1;
K07952;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04031;GTP-binding proteins;K07952;ADP-ribosylation factor related protein 1;ARFRP1;
K07953;09120;Genetic Information Processing;09123;Folding, sorting and degradation;04141;Protein processing in endoplasmic reticulum;K07953;GTP-binding protein SAR1;SAR1;EC:3.6.5.-
K07953;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K07953;GTP-binding protein SAR1;SAR1;EC:3.6.5.-
K07953;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04031;GTP-binding proteins;K07953;GTP-binding protein SAR1;SAR1;EC:3.6.5.-
K07964;09100;Metabolism;09107;Glycan biosynthesis and metabolism;00531;Glycosaminoglycan degradation;K07964;heparanase;HPSE;EC:3.2.1.166
K07964;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;00536;Glycosaminoglycan binding proteins;K07964;heparanase;HPSE;EC:3.2.1.166
K07979;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03000;Transcription factors;K07979;GntR family transcriptional regulator;ytrA;
K07995;09180;Brite Hierarchies;09181;Protein families: metabolism;01002;Peptidases and inhibitors;K07995;matrix metalloproteinase-15 (membrane-inserted);MMP15;EC:3.4.24.-
K07999;09180;Brite Hierarchies;09181;Protein families: metabolism;01002;Peptidases and inhibitors;K07999;matrix metalloproteinase-20 (enamelysin);MMP20;EC:3.4.24.-
K08022;09100;Metabolism;09103;Lipid metabolism;00590;Arachidonic acid metabolism;K08022;arachidonate 15-lipoxygenase (second type) / 8-lipoxygenase (S-type);ALOX15B;EC:1.13.11.33 1.13.11.-
K08045;09100;Metabolism;09104;Nucleotide metabolism;00230;Purine metabolism;K08045;adenylate cyclase 5;ADCY5;EC:4.6.1.1
K08045;09130;Environmental Information Processing;09132;Signal transduction;04015;Rap1 signaling pathway;K08045;adenylate cyclase 5;ADCY5;EC:4.6.1.1
K08045;09130;Environmental Information Processing;09132;Signal transduction;04371;Apelin signaling pathway;K08045;adenylate cyclase 5;ADCY5;EC:4.6.1.1
K08045;09130;Environmental Information Processing;09132;Signal transduction;04072;Phospholipase D signaling pathway;K08045;adenylate cyclase 5;ADCY5;EC:4.6.1.1
K08045;09130;Environmental Information Processing;09132;Signal transduction;04024;cAMP signaling pathway;K08045;adenylate cyclase 5;ADCY5;EC:4.6.1.1
K08045;09130;Environmental Information Processing;09132;Signal transduction;04022;cGMP-PKG signaling pathway;K08045;adenylate cyclase 5;ADCY5;EC:4.6.1.1
K08045;09140;Cellular Processes;09143;Cell growth and death;04114;Oocyte meiosis;K08045;adenylate cyclase 5;ADCY5;EC:4.6.1.1
K08045;09140;Cellular Processes;09144;Cellular community - eukaryotes;04540;Gap junction;K08045;adenylate cyclase 5;ADCY5;EC:4.6.1.1
K08068;09100;Metabolism;09101;Carbohydrate metabolism;00520;Amino sugar and nucleotide sugar metabolism;K08068;UDP-N-acetylglucosamine 2-epimerase (hydrolysing);siaA, neuC1;EC:3.2.1.183
K08068;09100;Metabolism;09107;Glycan biosynthesis and metabolism;00541;O-Antigen nucleotide sugar biosynthesis;K08068;UDP-N-acetylglucosamine 2-epimerase (hydrolysing);siaA, neuC1;EC:3.2.1.183
K08070;09190;Not Included in Pathway or Brite;09191;Unclassified: metabolism;99980;Enzymes with EC numbers;K08070;2-alkenal reductase;E1.3.1.74;EC:1.3.1.74
K08073;09180;Brite Hierarchies;09181;Protein families: metabolism;01009;Protein phosphatases and associated proteins;K08073;bifunctional polynucleotide phosphatase/kinase;PNKP;EC:3.1.3.32 2.7.1.78
K08073;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03400;DNA repair and recombination proteins;K08073;bifunctional polynucleotide phosphatase/kinase;PNKP;EC:3.1.3.32 2.7.1.78
K08076;09180;Brite Hierarchies;09181;Protein families: metabolism;01002;Peptidases and inhibitors;K08076;astacin;E3.4.24.21;EC:3.4.24.21
K08080;09100;Metabolism;09101;Carbohydrate metabolism;00520;Amino sugar and nucleotide sugar metabolism;K08080;CMP-N-acetylneuraminate monooxygenase;CMAH;EC:1.14.18.2
K08081;09100;Metabolism;09110;Biosynthesis of other secondary metabolites;00960;Tropane, piperidine and pyridine alkaloid biosynthesis;K08081;tropinone reductase I;TR1;EC:1.1.1.206
K08082;09130;Environmental Information Processing;09132;Signal transduction;02020;Two-component system;K08082;two-component system, LytTR family, sensor histidine kinase AlgZ;algZ;EC:2.7.13.3
K08082;09180;Brite Hierarchies;09181;Protein families: metabolism;01001;Protein kinases;K08082;two-component system, LytTR family, sensor histidine kinase AlgZ;algZ;EC:2.7.13.3
K08082;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02022;Two-component system;K08082;two-component system, LytTR family, sensor histidine kinase AlgZ;algZ;EC:2.7.13.3
K08083;09130;Environmental Information Processing;09132;Signal transduction;02020;Two-component system;K08083;two-component system, LytTR family, response regulator AlgR;algR;
K08083;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02022;Two-component system;K08083;two-component system, LytTR family, response regulator AlgR;algR;
K08084;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02044;Secretion system;K08084;type IV fimbrial biogenesis protein FimT;fimT;
K08085;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02044;Secretion system;K08085;type IV fimbrial biogenesis protein FimU;fimU;
K08086;09190;Not Included in Pathway or Brite;09193;Unclassified: signaling and cellular processes;99993;Cell motility;K08086;pilus assembly protein FimV;fimV;
K08092;09100;Metabolism;09101;Carbohydrate metabolism;00040;Pentose and glucuronate interconversions;K08092;3-dehydro-L-gulonate 2-dehydrogenase;dlgD;EC:1.1.1.130
K08092;09100;Metabolism;09101;Carbohydrate metabolism;00053;Ascorbate and aldarate metabolism;K08092;3-dehydro-L-gulonate 2-dehydrogenase;dlgD;EC:1.1.1.130
K08093;09100;Metabolism;09101;Carbohydrate metabolism;00030;Pentose phosphate pathway;K08093;3-hexulose-6-phosphate synthase;hxlA;EC:4.1.2.43
K08093;09100;Metabolism;09102;Energy metabolism;00680;Methane metabolism;K08093;3-hexulose-6-phosphate synthase;hxlA;EC:4.1.2.43
K08094;09100;Metabolism;09101;Carbohydrate metabolism;00030;Pentose phosphate pathway;K08094;6-phospho-3-hexuloisomerase;hxlB;EC:5.3.1.27
K08094;09100;Metabolism;09102;Energy metabolism;00680;Methane metabolism;K08094;6-phospho-3-hexuloisomerase;hxlB;EC:5.3.1.27
K08097;09100;Metabolism;09102;Energy metabolism;00680;Methane metabolism;K08097;phosphosulfolactate synthase;comA;EC:4.4.1.19
K08099;09100;Metabolism;09108;Metabolism of cofactors and vitamins;00860;Porphyrin metabolism;K08099;chlorophyllase;E3.1.1.14;EC:3.1.1.14
K08100;09100;Metabolism;09108;Metabolism of cofactors and vitamins;00860;Porphyrin metabolism;K08100;bilirubin oxidase;E1.3.3.5;EC:1.3.3.5
K08104;09100;Metabolism;09107;Glycan biosynthesis and metabolism;00534;Glycosaminoglycan biosynthesis - heparan sulfate / heparin;K08104;;HS3ST5;heparan sulfate]-glucosamine 3-sulfotransferase 5 [EC:2.8.2.23
K08104;09180;Brite Hierarchies;09181;Protein families: metabolism;01003;Glycosyltransferases;K08104;;HS3ST5;heparan sulfate]-glucosamine 3-sulfotransferase 5 [EC:2.8.2.23
K08106;09100;Metabolism;09107;Glycan biosynthesis and metabolism;00532;Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate;K08106;N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase;CHST15;EC:2.8.2.33
K08106;09180;Brite Hierarchies;09181;Protein families: metabolism;01003;Glycosyltransferases;K08106;N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase;CHST15;EC:2.8.2.33
K08106;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03036;Chromosome and associated proteins;K08106;N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase;CHST15;EC:2.8.2.33
K08115;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;00535;Proteoglycans;K08115;chondroitin sulfate proteoglycan 4;CSPG4;
K08134;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03110;Chaperones and folding catalysts;K08134;procollagen-proline 3-dioxygenase 1;P3H1;EC:1.14.11.7
K08134;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;00535;Proteoglycans;K08134;procollagen-proline 3-dioxygenase 1;P3H1;EC:1.14.11.7
K08136;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;00535;Proteoglycans;K08136;testican;SPOCK;
K08138;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08138;MFS transporter, SP family, xylose:H+ symportor;xylE;
K08139;09140;Cellular Processes;09143;Cell growth and death;04113;Meiosis - yeast;K08139;MFS transporter, SP family, sugar:H+ symporter;HXT;
K08139;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08139;MFS transporter, SP family, sugar:H+ symporter;HXT;
K08147;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08147;MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 10;SLC2A10, GLUT10;
K08150;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08150;MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13;SLC2A13, ITR;
K08151;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08151;MFS transporter, DHA1 family, tetracycline resistance protein;tetA;
K08151;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;01504;Antimicrobial resistance genes;K08151;MFS transporter, DHA1 family, tetracycline resistance protein;tetA;
K08153;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08153;MFS transporter, DHA1 family, multidrug resistance protein;blt;
K08154;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08154;MFS transporter, DHA1 family, 2-module integral membrane pump EmrD;emrD;
K08155;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08155;MFS transporter, DHA1 family, solute carrier family 18 (vesicular amine transporter), member 1/2;SLC18A1_2, VMAT;
K08156;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08156;MFS transporter, DHA1 family, arabinose polymer utilization protein;araJ;
K08159;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08159;MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein;sotB;
K08160;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08160;MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein;mdfA, cmr;
K08160;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;01504;Antimicrobial resistance genes;K08160;MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein;mdfA, cmr;
K08161;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08161;MFS transporter, DHA1 family, multidrug resistance protein;mdtG;
K08163;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08163;MFS transporter, DHA1 family, multidrug resistance protein;mdtL;
K08164;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08164;MFS transporter, DHA1 family, putative efflux transporter;ybcL;
K08166;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08166;MFS transporter, DHA2 family, methylenomycin A resistance protein;mmr;
K08167;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08167;MFS transporter, DHA2 family, multidrug resistance protein;smvA, qacA, lfrA;
K08167;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;01504;Antimicrobial resistance genes;K08167;MFS transporter, DHA2 family, multidrug resistance protein;smvA, qacA, lfrA;
K08168;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08168;MFS transporter, DHA2 family, metal-tetracycline-proton antiporter;tetB;
K08168;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;01504;Antimicrobial resistance genes;K08168;MFS transporter, DHA2 family, metal-tetracycline-proton antiporter;tetB;
K08169;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08169;MFS transporter, DHA2 family, multidrug resistance protein;yebQ;
K08170;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08170;MFS transporter, DHA2 family, multidrug resistance protein;norB, norC;
K08170;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;01504;Antimicrobial resistance genes;K08170;MFS transporter, DHA2 family, multidrug resistance protein;norB, norC;
K08172;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08172;MFS transporter, MHS family, shikimate and dehydroshikimate transport protein;shiA;
K08175;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08175;MFS transporter, FHS family, Na+ dependent glucose transporter 1;NAGLT1;
K08176;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08176;MFS transporter, PHS family, inorganic phosphate transporter;PHO84;
K08177;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08177;MFS transporter, OFA family, oxalate/formate antiporter;oxlT;
K08178;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08178;MFS transporter, SHS family, lactate transporter;JEN;
K08180;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08180;MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 3;SLC16A3;
K08186;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08186;MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 9;SLC16A9;
K08188;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08188;MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 11;SLC16A11;
K08189;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08189;MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 13;SLC16A13;
K08191;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08191;MFS transporter, ACS family, hexuronate transporter;exuT;
K08193;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08193;MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), other;SLC17A;
K08194;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08194;MFS transporter, ACS family, D-galactonate transporter;dgoT;
K08195;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08195;MFS transporter, AAHS family, 4-hydroxybenzoate transporter;pcaK;
K08196;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08196;MFS transporter, AAHS family, cis,cis-muconate transporter;mucK;
K08209;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08209;MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 13;SLC22A13;
K08217;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08217;MFS transporter, DHA3 family, macrolide efflux protein;mef;
K08217;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;01504;Antimicrobial resistance genes;K08217;MFS transporter, DHA3 family, macrolide efflux protein;mef;
K08218;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08218;MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG;ampG;
K08219;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08219;MFS transporter, UMF2 family, putative MFS family transporter protein;UMF2;
K08221;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08221;MFS transporter, ACDE family, multidrug resistance protein;yitG, ymfD, yfmO;
K08222;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08222;MFS transporter, YQGE family, putative transporter;yqgE;
K08223;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08223;MFS transporter, FSR family, fosmidomycin resistance protein;fsr;
K08224;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08224;MFS transporter, YNFM family, putative membrane transport protein;ynfM;
K08225;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08225;MFS transporter, ENTS family, enterobactin (siderophore) exporter;entS;
K08226;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K08226;MFS transporter, BCD family, chlorophyll transporter;pucC;
K08234;09190;Not Included in Pathway or Brite;09191;Unclassified: metabolism;99985;Amino acid metabolism;K08234;glyoxylase I family protein;yaeR;
K08239;09140;Cellular Processes;09141;Transport and catabolism;04142;Lysosome;K08239;UDP-N-acetylglucosamine-lysosomal-enzyme;GNPTAB;EC:2.7.8.17
K08242;09100;Metabolism;09103;Lipid metabolism;00100;Steroid biosynthesis;K08242;24-methylenesterol C-methyltransferase;E2.1.1.143;EC:2.1.1.143
K08246;09100;Metabolism;09103;Lipid metabolism;00100;Steroid biosynthesis;K08246;cycloeucalenol cycloisomerase;CPI1;EC:5.5.1.9
K08252;09190;Not Included in Pathway or Brite;09191;Unclassified: metabolism;99980;Enzymes with EC numbers;K08252;receptor protein-tyrosine kinase;E2.7.10.1;EC:2.7.10.1
K08253;09190;Not Included in Pathway or Brite;09191;Unclassified: metabolism;99980;Enzymes with EC numbers;K08253;non-specific protein-tyrosine kinase;E2.7.10.2;EC:2.7.10.2
K08255;09190;Not Included in Pathway or Brite;09191;Unclassified: metabolism;99980;Enzymes with EC numbers;K08255;CoA-disulfide reductase;cdr;EC:1.8.1.14
K08256;09100;Metabolism;09107;Glycan biosynthesis and metabolism;00571;Lipoarabinomannan (LAM) biosynthesis;K08256;phosphatidyl-myo-inositol alpha-mannosyltransferase;pimA;EC:2.4.1.345
K08256;09180;Brite Hierarchies;09181;Protein families: metabolism;01003;Glycosyltransferases;K08256;phosphatidyl-myo-inositol alpha-mannosyltransferase;pimA;EC:2.4.1.345
K08257;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;00537;Glycosylphosphatidylinositol (GPI)-anchored proteins;K08257;mannan endo-1,6-alpha-mannosidase;E3.2.1.101;EC:3.2.1.101
K08259;09180;Brite Hierarchies;09181;Protein families: metabolism;01002;Peptidases and inhibitors;K08259;lysostaphin;lytM;EC:3.4.24.75
K08259;09180;Brite Hierarchies;09181;Protein families: metabolism;01011;Peptidoglycan biosynthesis and degradation proteins;K08259;lysostaphin;lytM;EC:3.4.24.75
K08261;09100;Metabolism;09101;Carbohydrate metabolism;00051;Fructose and mannose metabolism;K08261;D-sorbitol dehydrogenase (acceptor);E1.1.99.21;EC:1.1.99.21
K08264;09100;Metabolism;09102;Energy metabolism;00680;Methane metabolism;K08264;heterodisulfide reductase subunit D;hdrD;EC:1.8.98.1
K08266;09130;Environmental Information Processing;09132;Signal transduction;04151;PI3K-Akt signaling pathway;K08266;target of rapamycin complex subunit LST8;MLST8, GBL;
K08266;09130;Environmental Information Processing;09132;Signal transduction;04150;mTOR signaling pathway;K08266;target of rapamycin complex subunit LST8;MLST8, GBL;
K08266;09140;Cellular Processes;09141;Transport and catabolism;04140;Autophagy - animal;K08266;target of rapamycin complex subunit LST8;MLST8, GBL;
K08266;09140;Cellular Processes;09141;Transport and catabolism;04138;Autophagy - yeast;K08266;target of rapamycin complex subunit LST8;MLST8, GBL;
K08266;09140;Cellular Processes;09141;Transport and catabolism;04136;Autophagy - other;K08266;target of rapamycin complex subunit LST8;MLST8, GBL;
K08266;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K08266;target of rapamycin complex subunit LST8;MLST8, GBL;
K08269;09130;Environmental Information Processing;09132;Signal transduction;04150;mTOR signaling pathway;K08269;serine/threonine-protein kinase ULK2;ULK2, ATG1;EC:2.7.11.1
K08269;09140;Cellular Processes;09141;Transport and catabolism;04140;Autophagy - animal;K08269;serine/threonine-protein kinase ULK2;ULK2, ATG1;EC:2.7.11.1
K08269;09140;Cellular Processes;09141;Transport and catabolism;04138;Autophagy - yeast;K08269;serine/threonine-protein kinase ULK2;ULK2, ATG1;EC:2.7.11.1
K08269;09140;Cellular Processes;09141;Transport and catabolism;04136;Autophagy - other;K08269;serine/threonine-protein kinase ULK2;ULK2, ATG1;EC:2.7.11.1
