KO;catA_KO;catA_name;catB_KO;catB_name;catC_KO;catC_name;catD_KO;catD_name;catD_shortname;catD_EC
K11989;09130;Environmental Information Processing;09132;Signal transduction;04340;Hedgehog signaling pathway;K11989;indian hedgehog;IHH;
K11989;09180;Brite Hierarchies;09181;Protein families: metabolism;01002;Peptidases and inhibitors;K11989;indian hedgehog;IHH;
K12019;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04121;Ubiquitin system;K12019;tripartite motif-containing protein 43/48/49/64/77;TRIM43S;
K12040;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K12040;solute carrier family 9 (sodium/hydrogen exchanger), member 3;SLC9A3, NHE3;
K12041;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K12041;solute carrier family 9 (sodium/hydrogen exchanger), member 6/7;SLC9A6_7, NHE6_7;
K12075;09130;Environmental Information Processing;09132;Signal transduction;04390;Hippo signaling pathway;K12075;discs large protein 2;DLG2;
K12075;09140;Cellular Processes;09144;Cellular community - eukaryotes;04530;Tight junction;K12075;discs large protein 2;DLG2;
K12075;09180;Brite Hierarchies;09181;Protein families: metabolism;01009;Protein phosphatases and associated proteins;K12075;discs large protein 2;DLG2;
K12114;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03000;Transcription factors;K12114;vrille;VRI;
K12163;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04121;Ubiquitin system;K12163;AN1-type zinc finger protein 4;ZFAND4, ANUBL1;
K12163;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04990;Domain-containing proteins not elsewhere classified;K12163;AN1-type zinc finger protein 4;ZFAND4, ANUBL1;
K12164;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04121;Ubiquitin system;K12164;ubiquitin-like modifier-activating enzyme 5;UBA5, UBE1DC1;
K12168;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04121;Ubiquitin system;K12168;E3 ubiquitin-protein ligase HECW2;HECW2;EC:2.3.2.26
K12171;09180;Brite Hierarchies;09181;Protein families: metabolism;01009;Protein phosphatases and associated proteins;K12171;E3 ubiquitin-protein ligase SH3RF;SH3RF, POSH;EC:2.3.2.27
K12171;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04121;Ubiquitin system;K12171;E3 ubiquitin-protein ligase SH3RF;SH3RF, POSH;EC:2.3.2.27
K12177;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04121;Ubiquitin system;K12177;COP9 signalosome complex subunit 3;COPS3, CSN3;
K12179;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04121;Ubiquitin system;K12179;COP9 signalosome complex subunit 6;COPS6, CSN6;
K12188;09140;Cellular Processes;09141;Transport and catabolism;04144;Endocytosis;K12188;ESCRT-II complex subunit VPS22;SNF8, EAP30;
K12188;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K12188;ESCRT-II complex subunit VPS22;SNF8, EAP30;
K12188;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K12188;ESCRT-II complex subunit VPS22;SNF8, EAP30;
K12189;09140;Cellular Processes;09141;Transport and catabolism;04144;Endocytosis;K12189;ESCRT-II complex subunit VPS25;VPS25, EAP20;
K12189;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K12189;ESCRT-II complex subunit VPS25;VPS25, EAP20;
K12189;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K12189;ESCRT-II complex subunit VPS25;VPS25, EAP20;
K12192;09140;Cellular Processes;09141;Transport and catabolism;04144;Endocytosis;K12192;charged multivesicular body protein 2B;CHMP2B;
